id,name,types,description
1,bulbasaur,grass|poison,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2,ivysaur,grass|poison,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,venusaur,grass|poison,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,charmander,fire,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,charmeleon,fire,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,charizard,fire|flying,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
7,squirtle,water,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,wartortle,water,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,blastoise,water,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
10,caterpie,bug,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11,metapod,bug,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,butterfree,bug|flying,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,weedle,bug|poison,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,kakuna,bug|poison,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
15,beedrill,bug|poison,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
16,pidgey,normal|flying,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,pidgeotto,normal|flying,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
18,pidgeot,normal|flying,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
19,rattata,normal,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
20,raticate,normal,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.
21,spearow,normal|flying,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
22,fearow,normal|flying,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,ekans,poison,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
24,arbok,poison,It is rumored that the ferocious warning markings on its belly differ from area to area.
25,pikachu,electric,"When several of these POKéMON gather, their electricity could build and cause lightning storms."
26,raichu,electric,Its long tail serves as a ground to protect itself from its own high-voltage power.
27,sandshrew,ground,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
28,sandslash,ground,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29,nidoran-f,poison,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns."
30,nidorina,poison,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
31,nidoqueen,poison|ground,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
32,nidoran-m,poison,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
33,nidorino,poison,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.
34,nidoking,poison|ground,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
35,clefairy,fairy,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
36,clefable,fairy,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
37,vulpix,fire,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
38,ninetales,fire,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
39,jigglypuff,normal|fairy,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
40,wigglytuff,normal|fairy,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,zubat,poison|flying,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
42,golbat,poison|flying,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,oddish,grass|poison,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
44,gloom,grass|poison,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
45,vileplume,grass|poison,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
46,paras,bug|grass,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.
47,parasect,bug|grass,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
48,venonat,bug|poison,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
49,venomoth,bug|poison,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.
50,diglett,ground,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
51,dugtrio,ground,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52,meowth,normal,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.
53,persian,normal,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
54,psyduck,water,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
55,golduck,water,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
56,mankey,fighting,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
57,primeape,fighting,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
58,growlithe,fire,Very protective of its territory. It will bark and bite to repel intruders from its space.
59,arcanine,fire,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.
60,poliwag,water,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
61,poliwhirl,water,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
62,poliwrath,water|fighting,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
63,abra,psychic,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
64,kadabra,psychic,It emits special alpha waves from its body that induce headaches just by being close by.
65,alakazam,psychic,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000."
66,machop,fighting,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67,machoke,fighting,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
68,machamp,fighting,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,bellsprout,grass|poison,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.
70,weepinbell,grass|poison,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
71,victreebel,grass|poison,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,tentacool,water|poison,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
73,tentacruel,water|poison,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
74,geodude,rock|ground,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
75,graveler,rock|ground,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
76,golem,rock|ground,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
77,ponyta,fire,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
78,rapidash,fire,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
79,slowpoke,water|psychic,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
80,slowbro,water|psychic,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.
81,magnemite,electric|steel,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
82,magneton,electric|steel,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
83,farfetchd,normal|flying,The sprig of green onions it holds is its weapon. It is used much like a metal sword.
84,doduo,normal|flying,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
85,dodrio,normal|flying,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
86,seel,water,The protruding horn on its head is very hard. It is used for bashing through thick ice.
87,dewgong,water|ice,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
88,grimer,poison,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
89,muk,poison,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
90,shellder,water,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
91,cloyster,water|ice,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,gastly,ghost|poison,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice."
93,haunter,ghost|poison,"Because of its ability to slip through block walls, it is said to be from an­ other dimension."
94,gengar,ghost|poison,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright."
95,onix,rock|ground,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,drowzee,psychic,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
97,hypno,psychic,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
98,krabby,water,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,kingler,water,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
100,voltorb,electric,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
101,electrode,electric,It stores electric energy under very high pressure. It often explodes with little or no provocation.
102,exeggcute,grass|psychic,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
103,exeggutor,grass|psychic,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
104,cubone,ground,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face."
105,marowak,ground,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
106,hitmonlee,fighting,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,hitmonchan,fighting,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
108,lickitung,normal,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.
109,koffing,poison,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
110,weezing,poison,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
111,rhyhorn,ground|rock,"A POKéMON with a one-track mind. Once it charges,  it won't stop running until it falls asleep."
112,rhydon,ground|rock,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
113,chansey,normal,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.
114,tangela,grass,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.
115,kangaskhan,normal,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.
116,horsea,water,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
117,seadra,water,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
118,goldeen,water,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
119,seaking,water,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
120,staryu,water,"If its body is torn, it can grow back if the red core remains. The core flashes at midnight."
121,starmie,water|psychic,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
122,mr-mime,psychic|fairy,"If interrupted while it is miming, it will slap around the offender with its broad hands."
123,scyther,bug|flying,"With ninja-like agility and speed, it can create the illusion that there is more than one."
124,jynx,ice|psychic,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
125,electabuzz,electric,"Normally found near power plants, they can wander away and cause major blackouts in cities."
126,magmar,fire,Its body always burns with an orange glow that enables it to hide perfectly among flames.
127,pinsir,bug,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
128,tauros,normal,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
129,magikarp,water,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,gyarados,water|flying,"Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm."
131,lapras,water|ice,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.
132,ditto,normal,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
133,eevee,normal,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
134,vaporeon,water,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.
135,jolteon,electric,It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts.
136,flareon,fire,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
137,porygon,normal,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.
138,omanyte,rock|water,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
139,omastar,rock|water,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.
140,kabuto,rock|water,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.
141,kabutops,rock|water,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.
142,aerodactyl,rock|flying,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
143,snorlax,normal,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
144,articuno,ice|flying,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.
145,zapdos,electric|flying,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.
146,moltres,fire|flying,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
147,dratini,dragon,Long considered a mythical POKéMON until recently when a small colony was found living underwater.
148,dragonair,dragon,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.
149,dragonite,dragon|flying,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.
150,mewtwo,psychic,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
151,mew,psychic,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
